Field=#~Integer~#~50|Field=Comment~String~Comment~232|Field=Description~String~Description~87|Field=Designator~String~Designator~87|Field=Footprint~String~Footprint~87|Field=LibRef~String~LibRef~87|Field=Quantity~Integer~Quantity~87|Field=Value~String~Value~88|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Gas_sensors_Rev. A.PrjPcb|ReportField=ProjectFullPath~C:\UAV\PCB\Gas_sensors_Rev. A\Gas_sensors_Rev. A.PrjPcb|ReportField=Title~Bill of Materials For Project [Gas_sensors_Rev. A.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~109|ReportField=ReportTime~16:11:44|ReportField=ReportDate~2016-07-18|ReportField=ReportDateTime~2016-07-18 16:11:44|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2016-07-18|ReportField=CurrentTime~16:07:30|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\UAV\PCB\Gas_sensors_Rev. A\Gas_sensors_top.SchDoc|ReportField=DocumentName~Gas_sensors_top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2016-07-04|ReportField=Organization~|ReportField=ProjectName~Gas_sensors_Rev. A.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Gas_sensors_Rev. A.PrjPcb|ReportField=DataSourceFullPath~C:\UAV\PCB\Gas_sensors_Rev. A\Gas_sensors_Rev. A.PrjPcb
1|Electrochemical sensors||A1, A2|Electrochemical|Electrochemical_sensor|2|
2|Capacitor||C1, C2, C3, C4, C5, C6, C7, C11, C13, C14, C15, C16, C22, C23, C24|0603_CAP|Capacitor|15|0.1uF
3|Capacitor||C8, C9, C12, C17|1206_CAP|Capacitor|4|10uF
4|Capacitor||C10|0603_CAP|Capacitor|1|0.47uF
5|Capacitor||C18, C20|0603_CAP|Capacitor|2|15pF
6|Capacitor||C19, C21|0603_CAP|Capacitor|2|2pF
7|PMEG3010ER|Schottky Diode|D1, D2, D3|SOD123W|D Schottky|3|
8|APG1608SEKC/T|LED, SMT, 0603(1608), 0.25mm Tthickness, Super Bright Orange|DS1|KING-LED0603-25-ORANGE_V|CMP-0239-00002-1|1|
9|2A||F1|0603_RES|Fuse|1|
10|Fuse||F2, F3|0603_RES|Fuse|2|
11|MiCS-6814||IC1|MiCS|MiCS-6814|1|
12|MiCS-2614||IC2|MiCS|MiCS-5524|1|
13|43650-0224|Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 2 positions.|J2|43650-0224|HEADER_POS2_?43650-0224|1|
14|67503-1020|USB, MINI, SMD, RA KME04-USBMU03A01|J3|MOLX-67503-1020_V|CMP-0411-00002-1|1|
15|Mirco SD socket||J4|HRS_DM3CS-SF|Micro_SD|1|
16|BM06B-GHS-TBT|JST GH top entry SMD connector|J5|BM06B-GHS-TBT|BM06B-GHS-TBT|1|
17|BM04B-GHS-TBT|JST GH top entry SMD connector|J6, J7, J8|BM04B-GHS-TBT|BM04B-GHS-TBT|3|
18|LTMM-105-02-TX-D|Shrouded Header & Stacker, Through-Hole, Vertical, -55 to 105 degC, 2 mm Pitch, 10-Pin, Male, RoHS|P1|SMTC-LTMM-105-02-XX-D|CMP-1028-00010-1|1|
19|N-channel MOSFET||Q1|SOT95P230X110-3M|MOSFET-N|1|
20|Resitor||R1, R2, R6, R8, R11, R12, R15, R17, R35, R36, R37, R38, R41, R42, R43, R44, R45, R46, R50, R51, R52|0603_RES|Resitor|21|10K
21|Resitor||R3, R4|0603_RES|Resitor|2|15K
22|Resitor||R5, R7, R14, R16|0603_RES|Resitor|4|10R
23|Resitor||R9|0603_RES|Resitor|1|110K
24|Resitor||R10, R18|0603_RES|Resitor|2|19.41K
25|Resitor||R13|0603_RES|Resitor|1|200K
26|Resitor||R19|0603_RES|Resitor|1|10M
27|Resitor||R20|0603_RES|Resitor|1|1M2
